,ChEMBL_ID,smiles,pIC50
0,CHEMBL3701767,CC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5cc(ccc5OCn4c3c6ccccc6)C(=O)N,9.585026652029182
1,CHEMBL3701766,CNC(=O)c1ccc2OCn3c(nc(c4ccc(cc4)C5(N)CC(C)(O)C5)c3c6ccccc6)c2c1,9.55284196865778
2,CHEMBL3701717,NC1(CC(O)(C1)C2CC2)c3ccc(cc3)c4nc5c6c(F)cccc6OCn5c4c7ccccc7,9.537602002101043
3,CHEMBL3701737,NC1(CC(O)(C1)C2CC2)c3ccc(cc3)c4nc5c6c(Cl)cccc6OCn5c4c7ccccc7,9.522878745280336
4,CHEMBL3701769,CCNC(=O)c1ccc2OCn3c(nc(c4ccc(cc4)C5(N)CC(C)(O)C5)c3c6ccccc6)c2c1,9.508638306165727
5,CHEMBL3701762,CC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5cc(ccc5OCn4c3c6ccccc6)c7ccn[nH]7,9.494850021680094
6,CHEMBL3701776,CC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5ccc(cc5OCn4c3c6ccccc6)C(=O)N,9.397940008672037
7,CHEMBL3701763,CC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5cc(ccc5OCn4c3c6ccccc6)c7cn[nH]c7,9.3767507096021
8,CHEMBL3701749,NC1(CC(O)(C1)C2CC2)c3ccc(cc3)c4nc5c6ccncc6OCn5c4c7ccccc7,9.318758762624412
9,CHEMBL3701770,CNC(=O)c1ccc2c(OCn3c2nc(c4ccc(cc4)C5(N)CC(C)(O)C5)c3c6ccccc6)c1,9.309803919971486
10,CHEMBL3701718,CC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5c(F)cccc5OCn4c3c6ccccc6,9.30102999566398
11,CHEMBL3701758,CC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5cc(CO)ccc5OCn4c3c6ccccc6,9.259637310505756
12,CHEMBL3701774,CC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5cc(ccc5OCn4c3c6ccccc6)C(=O)NCCO,9.244125144327509
13,CHEMBL3701734,COc1ccc2c(OCn3c2nc(c4ccc(cc4)C5(N)CC(O)(C5)C6CC6)c3c7ccccc7)c1,9.221848749616356
14,CHEMBL3701772,CC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5ccc(cc5OCn4c3c6ccccc6)C(=O)NCCO,9.154901959985743
15,CHEMBL3701720,NC1(CC(O)(C1)C2CC2)c3ccc(cc3)c4nc5c6c(F)cccc6OCn5c4c7ccsc7,9.148741651280924
16,CHEMBL3701750,CC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5ccncc5OCn4c3c6ccccc6,9.130768280269024
17,CHEMBL3701735,COc1ccc2OCn3c(nc(c4ccc(cc4)C5(N)CC(C)(O)C5)c3c6ccccc6)c2c1,9.1249387366083
18,CHEMBL3701746,CCC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5cnccc5OCn4c3c6ccccc6,9.10790539730952
19,CHEMBL3701764,Cc1cnc2c(OCn3c2nc(c4ccc(cc4)C5(N)CC(C)(O)C5)c3c6ccccc6)c1,9.070581074285707
20,CHEMBL3701721,NC1(CC(O)(C1)C2CC2)c3ccc(cc3)c4nc5c6c(F)cccc6OCn5c4c7ccncc7,9.040958607678906
21,CHEMBL3701752,NC1(CC(O)(C1)C2CC2)c3ccc(cc3)c4nc5c6cccnc6OCn5c4c7ccccc7,9.040958607678906
22,CHEMBL3701736,COc1ccc2c(OCn3c2nc(c4ccc(cc4)C5(N)CC(C)(O)C5)c3c6ccccc6)c1,9.040958607678906
23,CHEMBL3701722,CC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5c(F)cccc5OCn4c3c6ccsc6,9.040958607678906
24,CHEMBL3701777,CC1(O)CC(O)(C1)c2ccc(cc2)c3nc4c5cc(ccc5OCn4c3c6ccccc6)C(=O)O,9.040958607678906
25,CHEMBL3701778,CC1(O)CC(O)(C1)c2ccc(cc2)c3nc4c5ccc(cc5OCn4c3c6ccccc6)C(=O)O,9.0268721464003
26,CHEMBL3701753,CC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5cccnc5OCn4c3c6ccccc6,9.013228265733757
27,CHEMBL3701761,CC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5cc(ccc5OCn4c3c6ccccc6)C#N,9.013228265733757
28,CHEMBL3701724,CC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5cc(F)ccc5OCn4c3c6ccccc6,9.0
29,CHEMBL3701727,NC1(CC(O)(C1)C2CC2)c3ccc(cc3)c4nc5c6ccccc6OCn5c4c7ccccc7,9.0
30,CHEMBL3701723,CC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5c(F)cccc5OCn4c3c6ccncc6,8.958607314841776
31,CHEMBL3701751,NC1(CCC1)c2ccc(cc2)c3nc4c5ccncc5OCn4c3c6ccccc6,8.958607314841776
32,CHEMBL3701765,COc1ccc2OCn3c(nc(c4ccc(cc4)C5(N)CC(C)(O)C5)c3c6ccccc6)c2n1,8.958607314841776
33,CHEMBL3701747,CC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5cnccc5OCn4c3c6ccccc6,8.958607314841776
34,CHEMBL3701760,CC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5ccc(cc5OCn4c3c6ccccc6)C#N,8.920818753952375
35,CHEMBL3701719,NC1(CCC1)c2ccc(cc2)c3nc4c5c(F)cccc5OCn4c3c6ccccc6,8.920818753952375
36,CHEMBL3701768,CN(C)C(=O)c1ccc2OCn3c(nc(c4ccc(cc4)C5(N)CC(C)(O)C5)c3c6ccccc6)c2c1,8.886056647693161
37,CHEMBL3701726,NC1(CC(O)(C1)C2CC2)c3ccc(cc3)c4nc5c6cccc(F)c6OCn5c4c7ccccc7,8.853871964321762
38,CHEMBL3701741,Cc1ccc2c(OCn3c2nc(c4ccc(cc4)C5(N)CC(O)(C5)C6CC6)c3c7ccccc7)c1,8.823908740944319
39,CHEMBL3701742,NC1(CC(O)(C1)C2CC2)c3ccc(cc3)c4nc5c6ncccc6OCn5c4c7ccccc7,8.795880017344075
40,CHEMBL3701754,NC1(CCC1)c2ccc(cc2)c3nc4c5cccnc5OCn4c3c6ccccc6,8.795880017344075
41,CHEMBL3701748,NC1(CCC1)c2ccc(cc2)c3nc4c5cnccc5OCn4c3c6ccccc6,8.769551078621726
42,CHEMBL3679632,C[C@@]1(O)C[C@@](N)(C1)c2ccc(cc2)c3nc4ccc5nnc(C(F)F)n5c4cc3c6ccccc6,8.769551078621726
43,CHEMBL3701728,CC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5ccccc5OCn4c3c6ccccc6,8.769551078621726
44,CHEMBL3701738,CCOc1cccc2OCn3c(nc(c4ccc(cc4)C5(N)CC(O)(C5)C6CC6)c3c7ccccc7)c12,8.769551078621726
45,CHEMBL3701739,CCOc1cccc2OCn3c(nc(c4ccc(cc4)C5(N)CC(C)(O)C5)c3c6ccccc6)c12,8.744727494896694
46,CHEMBL3701725,CC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5ccc(F)cc5OCn4c3c6ccccc6,8.698970004336019
47,CHEMBL3701732,COc1cccc2OCn3c(nc(c4ccc(cc4)C5(N)CC(O)(C5)C6CC6)c3c7ccccc7)c12,8.698970004336019
48,CHEMBL3701743,CC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5ncccc5OCn4c3c6ccccc6,8.698970004336019
49,CHEMBL598194,NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NCc4ccc(Cl)cc4,8.657577319177793
50,CHEMBL3701759,CC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5ccc(CO)cc5OCn4c3c6ccccc6,8.568636235841014
51,CHEMBL3701729,NC1(CCC1)c2ccc(cc2)c3nc4c5ccccc5OCn4c3c6ccccc6,8.55284196865778
52,CHEMBL2177361,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(CC3)C(=O)[C@H](CNCC4CC4)c5ccc(c(F)c5)C(F)(F)F)c12,8.522878745280337
53,CHEMBL409503,NCC1(Cc2ccc(Cl)cc2)CCN(CC1)c3ncnc4[nH]cnc34,8.522878745280337
54,CHEMBL3701755,NC1(CC(O)(C1)C2CC2)c3ccc(cc3)c4nc5c6nccnc6OCn5c4c7ccccc7,8.481486060122112
55,CHEMBL3701771,CN(C)C(=O)c1ccc2c(OCn3c2nc(c4ccc(cc4)C5(N)CC(C)(O)C5)c3c6ccccc6)c1,8.455931955649724
56,CHEMBL597600,NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NCc4ccc(Cl)cc4F,8.397940008672037
57,CHEMBL2177378,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(CC3)C(=O)[C@H](CNC(C)(C)CO)c4ccc(Cl)cc4)c12,8.397940008672037
58,CHEMBL3701756,CC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5nccnc5OCn4c3c6ccccc6,8.397940008672037
59,CHEMBL3701744,NC1(CCC1)c2ccc(cc2)c3nc4c5ncccc5OCn4c3c6ccccc6,8.397940008672037
60,CHEMBL3701745,CCC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5ncccc5OCn4c3c6ccccc6,8.337242168318426
61,CHEMBL599849,NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NCc4ccc(Cl)cc4Cl,8.309803919971486
62,CHEMBL260000,NCC1(Cc2ccc(Cl)cc2)CCN(CC1)c3ncnc4[nH]ccc34,8.301029995663981
63,CHEMBL2178597,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(CC3)C(=O)[C@H](CNC(C)(C)C)c4ccc(c(F)c4)C(F)(F)F)c12,8.301029995663981
64,CHEMBL598842,NC1(CCN(CC1)c2ncnc3NC(=O)Nc23)C(=O)NCc4ccc(Cl)cc4,8.301029995663981
65,CHEMBL3701733,COc1ccc2OCn3c(nc(c4ccc(cc4)C5(N)CC(O)(C5)C6CC6)c3c7ccccc7)c2c1,8.292429823902062
66,CHEMBL3701730,NC1(CCC1)c2ccc(cc2)c3nc4c5ccccc5OCn4c3c6ccsc6,8.267606240177031
67,CHEMBL596991,NC1(Cc2ccc(Cl)cc2)CCN(CC1)c3ccnc4[nH]ccc34,8.259637310505756
68,CHEMBL598206,NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NCc4ccc(Cl)c(Cl)c4,8.244125144327509
69,CHEMBL263664,NC1(Cc2ccc(Cl)cc2)CCN(CC1)c3ncnc4[nH]ccc34,8.221848749616356
70,CHEMBL2177379,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(CC3)C(=O)[C@H]([C@@H]4CCCN4)c5ccc(Cl)cc5)c12,8.221848749616356
71,CHEMBL2177368,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(CC3)C(=O)[C@H](CNCC4CCOCC4)c5ccc(Cl)cc5)c12,8.221848749616356
72,CHEMBL2178598,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(CC3)C(=O)[C@H](CNC(C)(C)CO)c4ccc(c(F)c4)C(F)(F)F)c12,8.221848749616356
73,CHEMBL2177388,CC(C)NC[C@@H](C(=O)N1CCN(CC1)c2ncnc3CC[C@@H](CF)c23)c4ccc(Cl)cc4,8.221848749616356
74,CHEMBL496690,NC[C@H](Cc1ccc(F)cc1)NC(=O)c2cc(Br)c(s2)c3ccnc4[nH]ccc34,8.221848749616356
75,CHEMBL594933,Cc1n[nH]c2cnc(cc12)c3cc(OC[C@@H](N)Cc4c[nH]c5ccccc45)cnc3c6cocc6,8.221848749616356
76,CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35,8.187086643357143
77,CHEMBL3701731,NC1(CCC1)c2ccc(cc2)c3nc4c5ccccc5OCn4c3c6ccncc6,8.187086643357143
78,CHEMBL383264,N[C@H](COc1cncc(c1)c2ccc3cnccc3c2)Cc4c[nH]c5ccccc45,8.167491087293763
79,CHEMBL603882,NC1(Cc2ccc3ccccc3c2)CCN(CC1)c4ncnc5[nH]ccc45,8.154901959985743
80,CHEMBL605410,Cc1occc1c2nc(N)c(OC[C@@H](N)Cc3c(C#N)[nH]c4ccccc34)cc2c5cnc6[nH]nc(C)c6n5,8.154901959985743
81,CHEMBL3703105,NC1(CCC1)c2ccc(cc2)c3nc4cc(ccn4c3c5ccccc5)c6cccnc6,8.154901959985743
82,CHEMBL259998,NC1(CCN(CC1)c2ncnc3[nH]ccc23)c4ccc(Cl)cc4,8.154901959985743
83,CHEMBL3701757,CCC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5nccnc5OCn4c3c6ccccc6,8.154901959985743
84,CHEMBL407504,NC1(CCN(CC1)c2ncnc3[nH]cnc23)c4ccc(Cl)cc4,8.154901959985743
85,CHEMBL604910,NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NCc4cccc(Cl)c4,8.154901959985743
86,CHEMBL597793,NC1(COCc2ccc(Cl)cc2)CCN(CC1)c3ncnc4[nH]ccc34,8.096910013008056
87,CHEMBL498052,NC[C@H](Cc1ccccc1F)NC(=O)c2cc(Br)c(s2)c3ccnc4[nH]ccc34,8.096910013008056
88,CHEMBL2325741,NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)N[C@@H](CCO)c4ccc(Cl)cc4,8.096910013008056
89,CHEMBL406863,NCC1(CCN(CC1)c2ncnc3[nH]ccc23)c4ccc(Cl)cc4,8.096910013008056
90,CHEMBL604507,NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NCc4ccc(F)cc4Cl,8.096910013008056
91,CHEMBL3703104,NC1(CCC1)c2ccc(cc2)c3nc4cc(ccn4c3c5ccccc5)c6ccncc6,8.096910013008056
92,CHEMBL3703108,NC1(CCC1)c2ccc(cc2)c3nc4cc(ccn4c3c5ccccc5)c6ncc[nH]6,8.096910013008056
93,CHEMBL597414,NC1(Cc2ccc(Cl)cc2Cl)CCN(CC1)c3ncnc4[nH]ccc34,8.070581074285707
94,CHEMBL3672012,C(N1CCC(CC1)c2cnc3ccccc3n2)c4ccc(cc4)c5nc6nccn6cc5c7ccccc7,8.045757490560675
95,CHEMBL3699676,COc1cc(cn2c(c3ccccc3)c(nc12)c4ccc(cc4)C5(N)CCC5)C(=O)N,8.045757490560675
96,CHEMBL1171647,CCc1c[nH]c2ncnc(N3CC[C@](N)(CNC(=O)c4ccc(F)cc4F)C3)c12,8.045757490560675
97,CHEMBL3703111,NC1(CCC1)c2ccc(cc2)c3nc4cc(ccn4c3c5ccccc5)c6nn[nH]n6,8.045757490560675
98,CHEMBL523586,NC[C@H](Cc1cccc(F)c1)NC(=O)c2cc(Br)c(s2)c3ccnc4[nH]ccc34,8.045757490560675
99,CHEMBL226712,NC(c1ccc(Cl)cc1)c2ccc(cc2)c3ncnc4[nH]cnc34,8.045757490560675
100,CHEMBL2177367,CO[C@@H]1CC[C@H](CC1)NC[C@@H](C(=O)N2CCN(CC2)c3ncnc4[C@H](O)C[C@@H](C)c34)c5ccc(Cl)cc5,8.0
101,CHEMBL470597,NC[C@H](Cc1ccccc1)NC(=O)c2cc(Br)c(s2)c3ccnc4[nH]ccc34,8.0
102,CHEMBL228042,CNC(c1ccc(Cl)cc1)c2ccc(cc2)c3ncnc4[nH]cnc34,8.0
103,CHEMBL599847,NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NCc4ccc(cc4)C(F)(F)F,7.958607314841775
104,CHEMBL2177363,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(CC3)C(=O)[C@H](CN4CCC(F)CC4)c5ccc(Cl)cc5)c12,7.958607314841775
105,CHEMBL598207,NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NCc4ccc(F)cc4F,7.958607314841775
106,CHEMBL1079175,NC1(CCC1)c2ccc(cc2)c3nc4C=CN5C(=O)NN=C5c4cc3c6ccccc6,7.920818753952375
107,CHEMBL2177385,CC(C)NC[C@@H](C(=O)N1CCN(CC1)c2ncnc3CC[C@@H](C)c23)c4ccc(Cl)cc4,7.920818753952375
108,CHEMBL593813,Cc1occc1c2nc(N)c(OC[C@@H](N)Cc3c(Cl)[nH]c4ccccc34)cc2c5cnc6[nH]nc(C)c6n5,7.920818753952375
109,CHEMBL2177374,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(CC3)C(=O)[C@H](CNCC4CC4)c5ccc(Cl)cc5)c12,7.920818753952375
110,CHEMBL599448,NC1(CCN(CC1)c2ccnc3[nH]ccc23)C(=O)NCc4ccc(Cl)cc4,7.920818753952375
111,CHEMBL593490,Cc1[nH]nc2ccc(cc12)c3cc(OC[C@@H](N)Cc4c[nH]c5ccccc45)cnc3c6cocc6,7.920818753952375
112,CHEMBL260577,NC(C1CCN(CC1)c2ccnc3[nH]ccc23)c4ccc(Cl)cc4,7.920818753952375
113,CHEMBL598013,NC1(Cc2ccc(Cl)cc2)CCN(CC1)c3ccnc4[nH]ncc34,7.920818753952375
114,CHEMBL469590,NCC(Cc1ccccc1)NC(=O)c2cc(Br)c(s2)c3ccnc4[nH]ccc34,7.886056647693162
115,CHEMBL3703110,Cn1cncc1c2ccn3c(c4ccccc4)c(nc3c2)c5ccc(cc5)C6(N)CCC6,7.886056647693162
116,CHEMBL595459,Cc1occc1c2nc(N)c(OC[C@@H](N)Cc3c[nH]c4ccccc34)cc2c5cc6c(C)n[nH]c6cn5,7.886056647693162
117,CHEMBL3699674,NC1(CCC1)c2ccc(cc2)c3nc4cc(ccn4c3c5ccccc5)n6cccn6,7.886056647693162
118,CHEMBL2325729,NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)N[C@@H](CCN4CCCCC4)c5ccc(Cl)cc5,7.886056647693162
119,CHEMBL3931748,COc1nc(cn2c(c3ccccc3)c(nc12)c4ccc(cc4)C5(N)CCC5)C(=O)N,7.853871964321763
120,CHEMBL2177381,CC(C)NC[C@@H](C(=O)N1CCN(CC1)c2ncnc3[C@H](F)C[C@@H](C)c23)c4ccc(Cl)cc4,7.853871964321763
121,CHEMBL3672090,COC(=O)c1cn2cc(c3ccccc3)c(nc2n1)c4ccc(CN5CC(C5)c6n[nH]c(n6)c7cccc(C)n7)cc4,7.853871964321763
122,CHEMBL2325992,CN(C)CCC(NC(=O)C1(N)CCN(CC1)c2ncnc3[nH]ccc23)c4ccc(Cl)cc4,7.853871964321763
123,CHEMBL597183,NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NCc4ccc(F)cc4,7.853871964321763
124,CHEMBL593374,Cc1occc1c2nc(N)c(OC[C@@H](N)Cc3c[nH]c4ccccc34)cc2c5ccc6[nH]nc(C)c6c5,7.823908740944319
125,CHEMBL3699757,Cc1c(Cl)cn2c(c3ccccc3)c(nc2c1Br)c4ccc(cc4)C5(N)CCC5,7.823908740944319
126,CHEMBL2177366,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(CC3)C(=O)[C@H](CNC4CCOCC4)c5ccc(Cl)cc5)c12,7.823908740944319
127,CHEMBL597819,COc1cccc(CC2(N)CCN(CC2)c3ncnc4[nH]ccc34)c1,7.823908740944319
128,CHEMBL593375,Cc1occc1c2nc(N)c(OC[C@@H](N)Cc3c[nH]c4ccccc34)cc2c5cnc6[nH]nc(C)c6c5,7.823908740944319
129,CHEMBL594072,Cc1occc1c2nc(N)c(OC[C@@H](N)Cc3c([nH]c4ccccc34)C(=O)N)cc2c5cnc6[nH]nc(C)c6n5,7.823908740944319
130,CHEMBL2325993,CN(C)CCCC(NC(=O)C1(N)CCN(CC1)c2ncnc3[nH]ccc23)c4ccc(Cl)cc4,7.823908740944319
131,CHEMBL260358,NCC1(CCN(CC1)c2ncnc3[nH]cnc23)c4ccc(Cl)cc4,7.795880017344077
132,CHEMBL604917,NC1(Cc2cc(Cl)ccc2Cl)CCN(CC1)c3ncnc4[nH]ccc34,7.795880017344077
133,CHEMBL3672045,Cc1nc2nc(c3ccc(CN4CC(C4)c5n[nH]c(n5)c6ccccn6)cc3)c(c(C)n2n1)c7ccccc7,7.769551078621726
134,CHEMBL3672091,COC(=O)c1cn2cc(c3ccccc3)c(nc2n1)c4ccc(CN5CC(C5)c6n[nH]c(n6)c7ccccn7)cc4,7.769551078621726
135,CHEMBL3699728,COc1cc(Br)cn2c(c3ccccc3)c(nc12)c4ccc(cc4)C5(N)CCC5,7.769551078621726
136,CHEMBL2177372,CC(C)NC[C@@H](C(=O)N1CCN(CC1)c2ncnc3[C@H](O)C[C@@H](C)c23)c4ccc(Cl)c(F)c4,7.769551078621726
137,CHEMBL603680,NC1(Cc2ccc(Cl)c(Cl)c2)CCN(CC1)c3ncnc4[nH]ccc34,7.744727494896692
138,CHEMBL2177390,CC(C)NC[C@@H](C(=O)N1CCN(CC1)c2ncnc3[C@H](O)C[C@@H](C)c23)c4ccc(Cl)cc4,7.744727494896692
139,CHEMBL2177364,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(CC3)C(=O)[C@H](CNC4CCCCC4)c5ccc(Cl)cc5)c12,7.744727494896692
140,CHEMBL597818,NC1(Cc2cccc(OC(F)(F)F)c2)CCN(CC1)c3ncnc4[nH]ccc34,7.721246399047171
141,CHEMBL595944,Cc1occc1c2nc(N)c(OC[C@@H](N)Cc3c[nH]c4ccccc34)cc2c5cnc6[nH]nc(C)c6n5,7.721246399047171
142,CHEMBL3703106,NC1(CCC1)c2ccc(cc2)c3nc4cc(ccn4c3c5ccccc5)c6ccccn6,7.721246399047171
143,CHEMBL2325743,C[C@H](NC(=O)C1(N)CCN(CC1)c2ncnc3[nH]ccc23)c4ccc(Cl)cc4,7.698970004336019
144,CHEMBL597415,NC1(Cc2c(Cl)cccc2Cl)CCN(CC1)c3ncnc4[nH]ccc34,7.698970004336019
145,CHEMBL228133,Clc1ccc(cc1)C2(CCNCC2)c3ccc(cc3)c4ncnc5[nH]cnc45,7.698970004336019
146,CHEMBL3672048,CNc1c(c2ccccc2)c(nc3nc(C)nn13)c4ccc(CN5CC(C5)c6n[nH]c(n6)c7cccc(C)n7)cc4,7.67778070526608
147,CHEMBL210390,N[C@H](COc1cncc(c1)c2ccc3cnc(N)cc3c2)Cc4c[nH]c5ccccc45,7.67778070526608
148,CHEMBL3703109,NC1(CCC1)c2ccc(cc2)c3nc4cc(ccn4c3c5ccccc5)c6cnc[nH]6,7.657577319177793
149,CHEMBL2177369,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(CC3)C(=O)[C@H]([C@@H]4CCCCN4)c5ccc(Cl)cc5)c12,7.657577319177793
150,CHEMBL3699700,NC1(CCC1)c2ccc(cc2)c3nc4cc(ccn4c3c5ccccc5)c6cn[nH]c6,7.657577319177793
151,CHEMBL2325738,NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NC(CCO)c4ccc(Cl)cc4,7.657577319177793
152,CHEMBL3703112,CCOC(=O)c1ccn2c(c3ccccc3)c(nc2c1)c4ccc(cc4)C5(N)CCC5,7.657577319177793
153,CHEMBL3672497,NC1(CCC1)c2ccc(cc2)c3nn4c(cnc4cc3c5ccccc5)c6ccc7cn[nH]c7c6,7.657577319177793
154,CHEMBL3703107,NC1(CCC1)c2ccc(cc2)c3nc4cc(ccn4c3c5ccccc5)c6cc[nH]n6,7.638272163982407
155,CHEMBL2325982,CCC(NC(=O)C1(N)CCN(CC1)c2ncnc3[nH]ccc23)c4ccc(Cl)cc4,7.638272163982407
156,CHEMBL213618,CNc1nccc(n1)c2ccc(s2)C(=O)N[C@H](CN)Cc3ccc(Cl)cc3Cl,7.638272163982407
157,CHEMBL2177362,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(CC3)C(=O)[C@H](CNC4CCOCC4)c5ccc(Cl)c(F)c5)c12,7.619788758288393
158,CHEMBL2325739,NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NC(CCCO)c4ccc(Cl)cc4,7.619788758288393
159,CHEMBL3699768,NC(=O)c1cc(Br)c2nc(c3ccc(cc3)C4(N)CCC4)c(c5ccccc5)n2c1,7.619788758288393
160,CHEMBL596583,Cc1occc1c2ncc(OC[C@@H](N)Cc3c[nH]c4ccccc34)cc2c5cnc6[nH]nc(C)c6n5,7.6020599913279625
161,CHEMBL470598,NC[C@H](CC1CCCCC1)NC(=O)c2cc(Br)c(s2)c3ccnc4[nH]ccc34,7.6020599913279625
162,CHEMBL259999,NC1(Cc2ccc(Cl)cc2)CCN(CC1)c3ncnc4[nH]cnc34,7.6020599913279625
163,CHEMBL405384,NC(C1CCN(CC1)c2ncnc3[nH]ccc23)c4ccc(Cl)cc4,7.6020599913279625
164,CHEMBL2177829,Nc1ncccc1c2nc3ccc(nc3n2c4ccc(CC(=O)Nc5ccccc5)cc4)c6cccnc6,7.6020599913279625
165,CHEMBL260463,NCC1(CCN(CC1)c2ccnc3[nH]ccc23)c4ccc(Cl)cc4,7.6020599913279625
166,CHEMBL597803,CN(Cc1ccc(Cl)cc1)C(=O)C2(N)CCN(CC2)c3ncnc4[nH]ccc34,7.6020599913279625
167,CHEMBL598448,NC1(Cc2cccc3ccccc23)CCN(CC1)c4ncnc5[nH]ccc45,7.6020599913279625
168,CHEMBL597211,CC(C)(C)c1ccc(CC2(N)CCN(CC2)c3ncnc4[nH]ccc34)cc1,7.568636235841013
169,CHEMBL3703157,NC(=O)c1cc(Cl)c2nc(c3ccc(cc3)C4(N)CCC4)c(c5ccccc5)n2c1,7.552841968657781
